rank,brand,country_focus,category,page_url,application_route,network_or_owner,source_url,submit_status,next_step,human_gate
1,Home Chef,US,meal kit,/reviews/home-chef/,official affiliate page,CJ via Home Chef,https://www.homechef.com/affiliates,ready_to_apply,Apply through Home Chef affiliate page/CJ after account login,Human must log into CJ or create publisher account
2,Dinnerly,US,cheap meal kit,/reviews/dinnerly/,official affiliate page,AWIN via Dinnerly,https://dinnerly.com/about/affiliate,ready_to_apply,Apply through Dinnerly affiliate page/AWIN,Human must log into AWIN or create publisher account
3,Marley Spoon,US/AU/EU,meal kit,/reviews/marley-spoon/,official affiliate page,AWIN via Marley Spoon,https://marleyspoon.com/about/affiliate,ready_to_apply,Apply through Marley Spoon affiliate page/AWIN,Human must log into AWIN or create publisher account
4,CookUnity,US,prepared meals,/reviews/cookunity/,official business affiliate page,CookUnity Business,https://business.cookunity.com/business/affiliate,ready_to_apply,Apply through CookUnity affiliate/business partner page,Human must submit business/contact details
5,Little Spoon,US,kids meals,/reviews/little-spoon/,official affiliate page,Little Spoon,https://www.littlespoon.com/affiliate-program,ready_to_apply,Apply through Little Spoon affiliate page,Human must submit publisher details
6,ButcherBox,US,protein box,/reviews/butcherbox/,official affiliate page,ButcherBox,https://www.butcherbox.com/pages/affiliate-program,ready_to_apply,Apply through ButcherBox affiliate page,Human must submit publisher details
7,Daily Harvest,US,frozen plant-based meals,/reviews/daily-harvest/,official affiliate page,Daily Harvest,https://daily-harvest.com/pages/affiliates,ready_to_apply,Apply through Daily Harvest affiliate page,Human must submit publisher details
8,bistroMD,US,diet prepared meals,/reviews/bistromd/,official affiliate page,bistroMD,https://www.bistromd.com/pages/affiliate,ready_to_apply,Apply through bistroMD affiliate page,Human must submit publisher details
9,Blue Apron,US,meal kit,/reviews/blue-apron/,network publisher signup,CJ,https://signup.cj.com/member/signup/publisher/?cid=5446852,ready_to_apply,Apply to Blue Apron in CJ,Human must log into CJ or create publisher account
10,Gousto,UK,meal kit,/reviews/gousto/,network merchant profile,AWIN,https://ui.awin.com/merchant-profile/5070,ready_to_apply,Apply to Gousto in AWIN,Human must log into AWIN or create publisher account
11,Hungryroot,US,grocery dinner delivery,/reviews/hungryroot/,network/client affiliate page,PerformCB,https://www.performcb.com/agency/clients/hungryroot-affiliate-program/,ready_to_apply,Apply through PerformCB/Hungryroot route,Human must create/log into affiliate account
12,Factor,US,prepared meals,/reviews/factor/,network affiliate listing,FlexOffers,https://www.flexoffers.com/affiliate-programs/factor-meals-affiliate-program/,network_check_needed,Search inside FlexOffers/CJ/Impact after account login,Human must confirm active network and terms
13,EveryPlate,US/AU,cheap meal kit,/reviews/everyplate/,network/official route,CJ/FlexOffers/EveryPlate AU,https://www.everyplate.com.au/about/affiliates,network_check_needed,Apply through active country-specific program,Human must confirm US vs AU program
14,Green Chef,US,healthy meal kit,/reviews/green-chef/,network affiliate listing,CJ/FlexOffers,https://www.flexoffers.com/affiliate-programs/green-chef-affiliate-program/,network_check_needed,Search Green Chef in CJ/FlexOffers after account login,Human must confirm active network and terms
15,Magic Kitchen,US,frozen senior/special diet meals,/reviews/magic-kitchen/,affiliate directory/inhouse route,In-house,https://www.affiliate-toolkit.com/program/magic-kitchen/,network_check_needed,Find current in-house application/contact page,Human must confirm current program route
