priority,page_type,target_keyword,url,local_path,deploy_status,gsc_action,status,notes
1,hub,best meal delivery services,https://www.everymealguide.com/best/meal-delivery-services/,best/meal-delivery-services/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
2,hub,best prepared meal delivery,https://www.everymealguide.com/best/prepared-meal-delivery/,best/prepared-meal-delivery/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
3,hub,best meal kits,https://www.everymealguide.com/best/meal-kits/,best/meal-kits/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
4,use_case,best high protein meal delivery,https://www.everymealguide.com/best/high-protein-meal-delivery/,best/high-protein-meal-delivery/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
5,use_case,cheapest meal delivery service,https://www.everymealguide.com/best/cheap-meal-delivery/,best/cheap-meal-delivery/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
6,use_case,best meal delivery for families,https://www.everymealguide.com/best/meal-kits-for-families/,best/meal-kits-for-families/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
7,use_case,best vegan meal delivery,https://www.everymealguide.com/best/vegan-meal-delivery/,best/vegan-meal-delivery/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
8,use_case,best keto meal delivery,https://www.everymealguide.com/best/keto-meal-delivery/,best/keto-meal-delivery/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
9,use_case,best gluten free meal delivery,https://www.everymealguide.com/best/gluten-free-meal-delivery/,best/gluten-free-meal-delivery/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
10,deals,best meal delivery deals,https://www.everymealguide.com/deals/best-meal-delivery-deals/,deals/best-meal-delivery-deals/index.html,local_only_not_deployed,inspect_after_deploy_then_request_indexing_if_clean,fast_rank_polished_local,Fast long-tail target.
11,country,best meal delivery US,https://www.everymealguide.com/countries/us/best-meal-delivery/,countries/us/best-meal-delivery/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
12,country,best meal kits UK,https://www.everymealguide.com/countries/uk/best-meal-kits/,countries/uk/best-meal-kits/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
13,country,best meal delivery Canada,https://www.everymealguide.com/countries/canada/best-meal-delivery/,countries/canada/best-meal-delivery/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
14,country,best meal delivery Australia,https://www.everymealguide.com/countries/australia/best-meal-delivery/,countries/australia/best-meal-delivery/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
15,country,best meal delivery Ireland,https://www.everymealguide.com/countries/ireland/best-meal-delivery/,countries/ireland/best-meal-delivery/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
16,country,best meal delivery New Zealand,https://www.everymealguide.com/countries/new-zealand/best-meal-delivery/,countries/new-zealand/best-meal-delivery/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
17,comparison,HelloFresh vs Gousto,https://www.everymealguide.com/vs/hellofresh-vs-gousto/,vs/hellofresh-vs-gousto/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
18,comparison,Factor vs CookUnity,https://www.everymealguide.com/vs/factor-vs-cookunity/,vs/factor-vs-cookunity/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
19,comparison,EveryPlate vs Dinnerly,https://www.everymealguide.com/vs/everyplate-vs-dinnerly/,vs/everyplate-vs-dinnerly/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,Fast long-tail target.
20,review,Factor review,https://www.everymealguide.com/reviews/factor/,reviews/factor/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
21,review,HelloFresh review,https://www.everymealguide.com/reviews/hellofresh/,reviews/hellofresh/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
22,review,Gousto review,https://www.everymealguide.com/reviews/gousto/,reviews/gousto/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
23,review,CookUnity review,https://www.everymealguide.com/reviews/cookunity/,reviews/cookunity/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
24,review,EveryPlate review,https://www.everymealguide.com/reviews/everyplate/,reviews/everyplate/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
25,review,Dinnerly review,https://www.everymealguide.com/reviews/dinnerly/,reviews/dinnerly/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
26,review,Green Chef review,https://www.everymealguide.com/reviews/green-chef/,reviews/green-chef/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
27,review,Purple Carrot review,https://www.everymealguide.com/reviews/purple-carrot/,reviews/purple-carrot/index.html,local_only_not_deployed,inspect_after_top_10,fast_rank_polished_local,No fake testing or rating claims; keep source-led.
