region,country,country_slug,language,priority,target_brand_market_rows,current_brand_market_rows,gap_to_target,status,priority_categories,next_action
North America,US,us,en,1,180,250,0,coverage_target_met_needs_freshness,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
North America,Canada,canada,en,1,110,72,38,strong_base_expand,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,UK,uk,en,1,130,91,39,strong_base_expand,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Ireland,ireland,en,1,55,32,23,strong_base_expand,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Oceania,Australia,australia,en,1,120,74,46,strong_base_expand,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Oceania,New Zealand,new-zealand,en,2,45,23,22,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Germany,germany,de,2,85,19,66,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,France,france,fr,2,70,19,51,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Netherlands,netherlands,nl,2,55,19,36,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Spain,spain,es,2,55,13,42,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Italy,italy,it,2,55,12,43,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Sweden,sweden,sv,2,40,7,33,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Denmark,denmark,da,2,35,5,30,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Norway,norway,no,2,35,6,29,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Belgium,belgium,nl/fr,3,35,9,26,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Europe,Switzerland,switzerland,de/fr/it,3,35,8,27,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Asia,Singapore,singapore,en,3,45,14,31,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Asia,Hong Kong,hong-kong,en/zh,3,35,10,25,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Asia,UAE,uae,en/ar,3,40,15,25,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Asia,India,india,en/hi,3,110,12,98,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Asia,Japan,japan,ja,4,55,14,41,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Asia,South Korea,south-korea,ko,4,45,7,38,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Latin America,Mexico,mexico,es,4,45,11,34,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Latin America,Brazil,brazil,pt,4,55,8,47,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
Africa,South Africa,south-africa,en,4,45,15,30,starter_coverage,meal kits; prepared meals; high protein; diet; vegan; family; frozen; budget; grocery dinner,"Build country hub plus 11 commercial pages, then add brand reviews and vs pages from verified brands."
